"","Pseudomonas.1","Asticcacaulis","Cellvibrio","Pseudomonas.2","Cohnella","Lacunisphaera","Taibaiella","Achromobacter","Leadbetterella","Bordetella","Shinella","Xylophilus","Methylophilus","Stenotrophomonas","Pleomorphomonas"
"1C_A_1",0.0348134650426777,0.762443655893354,0.0142898244941019,0.0625299702694927,0.00882324733864007,0,0,0.0444998561427064,0.00124676321089479,0.00335667018317829,0.0141939196317253,0.00306895559604872,0.023304881557495,0,0
"1C_A_2",0.0172997367431365,0.786667920270778,0.0116585182399398,0.052275291462956,0.00479503572771719,0,0,0.0620534035351636,0.00611132004512975,0.00432493418578413,0.0137269650244453,0.0032907107935314,0.0139150056412185,0,0
"1C_A_5",0.00399201596806387,0.794268605645851,0.0822640433418877,0.0404191616766467,0.0059167379526661,0,0.00035642999714856,0.0240233818078129,0.00791274593669803,0.00306529797547762,0.00876817792985458,0.000641573994867408,0.0106928999144568,0,0
"1C_A_6",0.0103975535168196,0.479714576962283,0.420693170234455,0.0226299694189602,0.00244648318042813,0,0,0.0184505606523955,0.0110091743119266,0.00387359836901121,0.00632008154943935,0.00265035677879715,0.00336391437308868,0,0
"1C_A_7",0.00719251977942939,0.664109326300647,0.256053704147686,0.0182210501078878,0.00215775593382882,0,0,0.0139055382402302,0.0148645408774874,0,0.00527451450491489,0.000959002637257252,0.00743227043874371,0,0
"1C_B_1",0.023450003479229,0.792150859369564,0.0204578665367755,0.0751513464616241,0.00744555006610535,0,0,0.0280425857629949,0.00111335328091295,0.00347922900285297,0.00939391830770301,0.00264421404216826,0.0178136524946072,0,0
"1C_B_2",0.0143620092378753,0.778651847575058,0.0141454965357968,0.0871824480369515,0.00815531177829099,0.000360854503464203,0,0.0453233256351039,0.00454676674364896,0.00310334872979215,0.00786662817551963,0.00202078521939954,0.0141454965357968,0,0
"1C_B_4",0.0177200236266982,0.782831265997244,0.0641858633589289,0.0441031699153377,0.00807245520771806,0.00118133490844654,0,0.0342587123449498,0.00610356369364048,0,0.0141760189013585,0,0.00689112029927151,0,0
"1C_B_5",0.00650960942343459,0.79551560239719,0.0726389749948336,0.0472205001033271,0.00516635668526555,0.000516635668526555,0.000826617069642488,0.0324447199834677,0.0075428807604877,0,0.00609630088861335,0.00134325273816904,0.00950609630088861,0,0
"1C_B_7",0.00734197545026959,0.556269358724332,0.313295858666973,0.0283354365033842,0.00298267752667202,0,0,0.0246644487782494,0.0164047263966961,0.00630951015257543,0.00665366525180681,0.00263852242744063,0.00435929792359757,0,0
"1C_C_1",0.026524622241548,0.746168061745842,0.0379389064028699,0.0653331883900424,0.0145668007392108,0.000434829872812262,0,0.043156864876617,0.00141319708663985,0.00423959125991956,0.0128274812479617,0.00217414936406131,0.0230459832590499,0,0
